Year,rain_in
1980,26.21
1981,21.88
1982,26.09
1983,33.68
1984,36.86
1985,18.8
1986,17.69
1987,23.52
1988,20.47
1989,14.85
1990,17.08
1991,11.27
1992,20.73
1993,30.15
1994,19.75
1996,28.13
1996,27.82
1997,35.01
1998,19.95
1999,32.98
2000,19.18
2001,19.86
2002,21.72
2003,18.38
2004,21.98
2005,25.05
2006,29.08
2007,19.88
2008,20.13
2009,12.01
2010,22.26
2011,25.98
2012,20.63
2013,21.52
2014,7.28
2015,20.01
2016,20.78
2017,29.26
2018,21.58
2019,19.99
2020,25.95
2021,13.66
