#  California Year-to-Date Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1980-2020
Date,Value,Anomaly
198001,45.9,1.3
198002,47.4,1.7
198003,47.3,0.1
198004,49.1,-0.2
198005,50.9,-0.9
198006,53.4,-1.4
198007,56.5,-1.3
198008,58.6,-1.4
198009,59.7,-1.4
198010,59.9,-1.2
198011,59.1,-1
198012,58.1,-0.7
198101,46.7,2.1
198102,47.2,1.5
198103,47.7,0.5
198104,49.9,0.6
198105,52.3,0.5
198106,55.8,1
198107,58.6,0.8
198108,60.8,0.8
198109,61.8,0.7
198110,61.3,0.2
198111,60.4,0.3
198112,59.3,0.5
198201,40.4,-4.2
198202,43.7,-2
198203,44.7,-2.5
198204,46.6,-2.7
198205,49.6,-2.2
198206,52.4,-2.4
198207,55.4,-2.4
198208,57.7,-2.3
198209,58.7,-2.4
198210,58.7,-2.4
198211,57.6,-2.5
198212,56.3,-2.5
198301,44.2,-0.4
198302,45.5,-0.2
198303,46.5,-0.7
198304,47.4,-1.9
198305,50.1,-1.7
198306,53,-1.8
198307,55.7,-2.1
198308,58,-2
198309,59.4,-1.7
198310,59.6,-1.5
198311,58.7,-1.4
198312,57.6,-1.2
198401,45.4,0.8
198402,45.8,0.1
198403,47.8,0.6
198404,49.1,-0.2
198405,52.3,0.5
198406,55,0.2
198407,58.1,0.3
198408,60.2,0.2
198409,61.6,0.5
198410,61,-0.1
198411,59.8,-0.3
198412,58.2,-0.6
198501,41.7,-2.9
198502,43.5,-2.2
198503,44.4,-2.8
198504,47.9,-1.4
198505,50.5,-1.3
198506,54.2,-0.6
198507,57.5,-0.3
198508,59.4,-0.6
198509,60,-1.1
198510,59.9,-1.2
198511,58.6,-1.5
198512,57.3,-1.5
198601,48.8,4.2
198602,48.8,3.1
198603,50.4,3.2
198604,51.5,2.2
198605,53.6,1.8
198606,56.5,1.7
198607,58.9,1.1
198608,61,1
198609,61.3,0.2
198610,61.1,0
198611,60.2,0.1
198612,58.9,0.1
198701,41.4,-3.2
198702,43.8,-1.9
198703,45.4,-1.8
198704,48.9,-0.4
198705,51.8,0
198706,55,0.2
198707,57.3,-0.5
198708,59.4,-0.6
198709,60.6,-0.5
198710,60.9,-0.2
198711,59.9,-0.2
198712,58.3,-0.5
198801,42.7,-1.9
198802,45.6,-0.1
198803,47.6,0.4
198804,49.5,0.2
198805,51.7,-0.1
198806,54.4,-0.4
198807,57.7,-0.1
198808,59.8,-0.2
198809,60.9,-0.2
198810,61.3,0.2
198811,60.2,0.1
198812,58.8,0
198901,40.9,-3.7
198902,41.8,-3.9
198903,45.1,-2.1
198904,48.9,-0.4
198905,51.4,-0.4
198906,54.4,-0.4
198907,57.4,-0.4
198908,59.2,-0.8
198909,60.2,-0.9
198910,60.1,-1
198911,59.3,-0.8
198912,58.1,-0.7
199001,43.1,-1.5
199002,42.9,-2.8
199003,45.7,-1.5
199004,48.9,-0.4
199005,51.2,-0.6
199006,54.2,-0.6
199007,57.4,-0.4
199008,59.4,-0.6
199009,60.6,-0.5
199010,60.7,-0.4
199011,59.7,-0.4
199012,58,-0.8
199101,43.6,-1
199102,47.6,1.9
199103,46.6,-0.6
199104,48.2,-1.1
199105,50.1,-1.7
199106,52.8,-2
199107,56,-1.8
199108,58.2,-1.8
199109,59.7,-1.4
199110,60.2,-0.9
199111,59.4,-0.7
199112,58.1,-0.7
199201,43.2,-1.4
199202,46.2,0.5
199203,47.7,0.5
199204,50.5,1.2
199205,53.8,2
199206,56.3,1.5
199207,58.8,1
199208,61,1
199209,62.1,1
199210,62.1,1
199211,61,0.9
199212,59.3,0.5
199301,41.3,-3.3
199302,42.7,-3
199303,46.1,-1.1
199304,48.4,-0.9
199305,51.1,-0.7
199306,54,-0.8
199307,56.6,-1.2
199308,58.6,-1.4
199309,59.8,-1.3
199310,60,-1.1
199311,59,-1.1
199312,57.7,-1.1
199401,45.7,1.1
199402,44.7,-1
199403,47.4,0.2
199404,49.6,0.3
199405,51.9,0.1
199406,55.1,0.3
199407,58.1,0.3
199408,60.3,0.3
199409,61.4,0.3
199410,61.1,0
199411,59.5,-0.6
199412,58,-0.8
199501,44.7,0.1
199502,48,2.3
199503,48.3,1.1
199504,49.5,0.2
199505,51.2,-0.6
199506,53.7,-1.1
199507,56.6,-1.2
199508,58.9,-1.1
199509,60.3,-0.8
199510,60.5,-0.6
199511,60.1,0
199512,58.9,0.1
199601,45.6,1
199602,47.2,1.5
199603,48.6,1.4
199604,50.7,1.4
199605,53,1.2
199606,55.9,1.1
199607,59.1,1.3
199608,61.3,1.3
199609,62.1,1
199610,61.8,0.7
199611,60.8,0.7
199612,59.6,0.8
199701,44.5,-0.1
199702,45.6,-0.1
199703,48.4,1.2
199704,50.2,0.9
199705,53.7,1.9
199706,56.1,1.3
199707,58.7,0.9
199708,60.7,0.7
199709,61.8,0.7
199710,61.5,0.4
199711,60.6,0.5
199712,59.1,0.3
199801,45.1,0.5
199802,44.4,-1.3
199803,46,-1.2
199804,47.4,-1.9
199805,48.9,-2.9
199806,51.6,-3.2
199807,55.1,-2.7
199808,57.9,-2.1
199809,59.1,-2
199810,59,-2.1
199811,58,-2.1
199812,56.7,-2.1
199901,45,0.4
199902,45,-0.7
199903,45.8,-1.4
199904,47.2,-2.1
199905,49.8,-2
199906,52.8,-2
199907,55.7,-2.1
199908,57.9,-2.1
199909,59.3,-1.8
199910,59.7,-1.4
199911,59.1,-1
199912,58,-0.8
200001,45.8,1.2
200002,46.5,0.8
200003,47.7,0.5
200004,50.3,1
200005,53,1.2
200006,56.2,1.4
200007,58.7,0.9
200008,60.7,0.7
200009,61.6,0.5
200010,61.3,0.2
200011,59.9,-0.2
200012,58.8,0
200101,42.3,-2.3
200102,42.7,-3
200103,46,-1.2
200104,47.5,-1.8
200105,51.7,-0.1
200106,55,0.2
200107,57.7,-0.1
200108,60,0
200109,61.3,0.2
200110,61.5,0.4
200111,60.6,0.5
200112,59.1,0.3
200201,42.4,-2.2
200202,45.3,-0.4
200203,46.4,-0.8
200204,48.8,-0.5
200205,51.3,-0.5
200206,54.6,-0.2
